,Aca,Aguascalientes,Campeche,Cancún ,CdCuauhtemoc,CdJuarez,CdObregon,CdVictoria,Colima,Cuernavaca,Culiacán,Chetumal,Chilpancingo ,Chihuahua,Durango,Ensenada,Guadalajara,Guanajuato ,Hermosillo,LaPaz,Leon
Aca,0,898,1500,1990,1210,2230,2002,1092,688,300,1650,1700,115,1860,1310,3285,936,750,2340,4695,779
Aguascalientes,898,0,1668,2160,1740,1360,1380,515,450,597,969,2869,485,978,430,2608,252,168,1655,4016,127
Campeche,1500,1668,0,490,726,2991,3053,1603,1850,1210,2417,430,1391,2630,2070,4060,1697,1522,3105,5455,1550
Cancun,1990,2160,490,0,1215,393,3039,2090,2346,1702,2915,383,1890,3121,2567,4549,2200,2013,3605,5955,2047
CdCuauhtemoc,1210,1740,726,1215,0,3069,2769,1705,1896,1251,2497,632,1325,2965,2153,2129,1777,1591,3185,5535,1623
CdJuarez,2230,1360,2991,393,3069,0,1029,1443,1754,1931,1468,3197,2119,371,1043,1365,1557,1536,772,2772,1477
CdObregon,2002,1380,3053,3039,2769,1029,0,1785,1386,1833,436,3170,1999,1407,962,1213,1170,1469,260,2570,1415
CdVictoria,1092,515,1603,2090,1705,1443,1785,0,886,790,1385,1603,980,1065,851,2712,689,573,1760,4115,550
Colima,688,450,1850,2346,1896,1754,1386,886,0,780,917,2035,965,1382,831,2560,199,436,1600,3990,429
Cuernavaca,300,597,1210,1702,1251,1931,1833,790,780,0,1352,1415,184,1560,1013,2992,633,456,2035,4403,483
Culiacan,1650,969,2417,2915,2497,1468,436,1385,917,1352,0,2621,1537,1198,535,1646,716,1011,695,357,946
Chetumal,1700,2869,430,383,632,3197,3170,1603,2035,1415,2621,0,1599,2829,2282,4256,1908,1723,3312,5675,1750
Chilpancingo ,115,485,1391,1890,1325,2119,1999,980,965,184,1537,1599,0,1745,1196,3170,822,639,2227,4579,679
Chihuahua,1860,978,2630,3121,2965,371,1407,1065,1382,1560,1198,2829,1745,0,667,1640,1179,1160,691,3052,1105
Durango,1310,430,2070,2567,2153,1043,962,851,831,1013,535,2282,1196,667,0,2170,630,617,1222,1585,560
Ensenada,3285,2608,4060,4549,2129,1365,1213,2712,2560,2992,1646,4256,3170,1640,2170,0,2352,2651,950,1411,2586
Guadalajara,936,252,1697,2200,1777,1557,1170,689,199,633,716,1908,822,1179,630,2352,0,296,1400,3768,230
Guanajuato,750,168,1522,2013,1591,1536,1469,573,436,456,1011,1723,639,1160,617,2651,296,0,1697,4063,66
Hermosillo,2340,1655,3105,3605,3185,772,260,1760,1600,2035,695,3312,2227,691,1222,950,1400,1697,0,2365,1636
LaPaz,4695,4016,5455,5955,5535,2772,2570,4115,3990,4403,357,5675,4579,3052,1585,1411,3768,4063,2365,0,4000
Leon,779,127,1550,2047,1623,1477,1415,550,429,483,946,1750,679,1105,560,2586,230,66,1636,4000,0
