"RowNames","lon","lat","elevation","vegetation","exposure","slope","veg9"
"1",700.53797872159998,984.47864582659997,548,2,-1,0,1
"2",704.04827122159998,984.47864582659997,518,2,135,0,1
"3",707.55856372159997,984.47864582659997,548,2,-1,0,1
"4",711.06885622159996,984.47864582659997,569,2,254,4,1
"5",714.57914872159995,984.47864582659997,590,2,178,5,1
"6",697.02768622159999,981.93418082660003,518,2,-1,0,1
"7",700.53797872159998,981.93418082660003,548,2,31,2,1
"8",704.04827122159998,981.93418082660003,548,2,-1,0,1
"9",707.55856372159997,981.93418082660003,579,2,-1,0,1
"10",711.06885622159996,981.93418082660003,579,2,162,0,1
"11",714.57914872159995,981.93418082660003,611,2,347,2,1
"12",718.08944122160005,981.93418082660003,593,2,14,9,1
"13",721.59973372160005,981.93418082660003,669,2,318,1,1
"14",682.98651622160003,979.38971582659997,487,2,108,0,1
"15",686.49680872160002,979.38971582659997,487,2,180,0,1
"16",690.00710122160001,979.38971582659997,519,2,321,1,1
"17",693.5173937216,979.38971582659997,548,2,180,0,1
"18",697.02768622159999,979.38971582659997,500,2,273,2,1
"19",700.53797872159998,979.38971582659997,548,2,45,0,1
"20",704.04827122159998,979.38971582659997,549,2,45,0,1
"21",707.55856372159997,979.38971582659997,547,2,290,3,1
"22",711.06885622159996,979.38971582659997,543,2,200,4,1
"23",714.57914872159995,979.38971582659997,548,2,342,0,1
"24",718.08944122160005,979.38971582659997,610,2,270,0,1
"25",721.59973372160005,979.38971582659997,644,2,341,4,1
"26",725.11002622160004,979.38971582659997,639,2,320,2,1
"27",728.62031872160003,979.38971582659997,669,2,138,4,1
"28",679.47622372160004,976.84525082660002,487,2,135,0,1
"29",682.98651622160003,976.84525082660002,487,2,-1,0,1
"30",686.49680872160002,976.84525082660002,487,2,18,0,1
"31",690.00710122160001,976.84525082660002,506,2,117,6,1
"32",693.5173937216,976.84525082660002,489,2,95,3,1
"33",697.02768622159999,976.84525082660002,548,2,108,0,1
"34",700.53797872159998,976.84525082660002,549,2,90,0,1
"35",704.04827122159998,976.84525082660002,545,2,213,4,1
"36",707.55856372159997,976.84525082660002,548,2,101,0,1
"37",711.06885622159996,976.84525082660002,425,2,8,0,1
"38",714.57914872159995,976.84525082660002,492,2,357,7,1
"39",718.08944122160005,976.84525082660002,548,2,225,0,1
"40",721.59973372160005,976.84525082660002,609,2,18,0,1
"41",725.11002622160004,976.84525082660002,638,2,297,2,1
"42",728.62031872160003,976.84525082660002,696,2,207,4,1
"43",732.13061122160002,976.84525082660002,731,2,45,0,1
"44",665.43505372159996,974.30078582659996,515,2,225,0,1
"45",668.94534622159995,974.30078582659996,548,2,299,2,1
"46",675.96593122160004,974.30078582659996,487,2,252,0,1
"47",679.47622372160004,974.30078582659996,426,2,225,0,1
"48",682.98651622160003,974.30078582659996,487,2,284,0,1
"49",686.49680872160002,974.30078582659996,512,2,87,6,1
"50",690.00710122160001,974.30078582659996,540,2,309,4,1
"51",693.5173937216,974.30078582659996,521,2,133,4,1
"52",697.02768622159999,974.30078582659996,370,2,164,7,1
"53",700.53797872159998,974.30078582659996,259,2,168,10,1
"54",704.04827122159998,974.30078582659996,442,2,336,24,1
"55",707.55856372159997,974.30078582659996,431,2,339,3,1
"56",711.06885622159996,974.30078582659996,485,2,17,2,1
"57",714.57914872159995,974.30078582659996,553,2,292,1,1
"58",718.08944122160005,974.30078582659996,607,2,0,1,1
"59",721.59973372160005,974.30078582659996,561,2,141,13,1
"60",725.11002622160004,974.30078582659996,629,2,250,7,1
"61",728.62031872160003,974.30078582659996,720,2,291,5,1
"62",732.13061122160002,974.30078582659996,732,2,90,0,1
"63",661.92476122159997,971.75632082660002,491,2,86,2,1
"64",665.43505372159996,971.75632082660002,487,2,162,0,1
"65",668.94534622159995,971.75632082660002,487,2,108,0,1
"66",672.45563872160005,971.75632082660002,485,2,55,9,1
"67",675.96593122160004,971.75632082660002,444,2,193,9,1
"68",679.47622372160004,971.75632082660002,455,2,314,5,1
"69",682.98651622160003,971.75632082660002,518,2,270,0,1
"70",686.49680872160002,971.75632082660002,533,2,318,4,1
"71",690.00710122160001,971.75632082660002,489,2,70,2,1
"72",693.5173937216,971.75632082660002,233,2,150,11,1
"73",697.02768622159999,971.75632082660002,183,1,-1,0,1
"74",700.53797872159998,971.75632082660002,205,2,9,5,1
"75",704.04827122159998,971.75632082660002,345,2,214,26,1
"76",707.55856372159997,971.75632082660002,429,2,275,3,1
"77",711.06885622159996,971.75632082660002,548,2,-1,0,1
"78",714.57914872159995,971.75632082660002,548,2,315,0,1
"79",718.08944122160005,971.75632082660002,518,2,83,14,1
"80",721.59973372160005,971.75632082660002,195,2,-1,0,1
"81",725.11002622160004,971.75632082660002,304,2,225,0,1
"82",728.62031872160003,971.75632082660002,669,2,18,4,1
"83",732.13061122160002,971.75632082660002,710,2,322,14,1
"84",735.64090372160001,971.75632082660002,762,2,90,0,1
"85",658.41446872159997,969.21185582659996,480,2,184,5,1
"86",661.92476122159997,969.21185582659996,426,2,147,3,1
"87",665.43505372159996,969.21185582659996,349,2,145,14,1
"88",668.94534622159995,969.21185582659996,345,2,293,15,1
"89",672.45563872160005,969.21185582659996,365,2,-1,0,1
"90",675.96593122160004,969.21185582659996,426,2,319,4,1
"91",679.47622372160004,969.21185582659996,426,2,-1,0,1
