density,residual sugar
0.9978,1.9
0.9968,2.6
0.997,2.3
0.998,1.9
0.9978,1.9
0.9978,1.8
0.9964,1.6
0.9946,1.2
0.9968,2
0.9978,6.1
0.9959,1.8
0.9978,6.1
0.9943,1.6
0.9974,1.6
0.9986,3.8
0.9986,3.9
0.9969,1.8
0.9968,1.7
0.9974,4.4
0.9969,1.8
0.9968,1.8
0.9982,2.3
0.9966,1.6
0.9968,2.3
0.9968,2.4
0.9955,1.4
0.9962,1.8
0.9966,1.6
0.9972,1.9
0.9964,2
0.9958,2.4
0.9966,2.5
0.9966,2.3
0.9993,10.7
0.9957,1.8
0.9986,5.5
0.9975,2.4
0.9968,2.1
0.994,1.5
0.9978,5.9
0.9978,5.9
0.9976,2.8
0.9968,2.6
0.9968,2.2
0.9962,1.8
0.9934,2.1
0.997,2.2
0.9969,1.6
0.9958,1.6
0.9954,1.4
0.9971,1.7
0.9956,2.2
0.9955,2.1
0.997,3
0.9955,2.8
0.9978,3.8
0.9971,3.4
0.9983,5.1
0.9975,2.3
0.9962,2.4
0.998,2.2
0.9968,1.8
0.9968,1.9
0.9966,2
0.9962,4.65
0.9962,4.65
0.9968,1.5
0.9962,1.6
0.9969,2
0.9962,1.9
0.9967,1.9
0.9962,2.1
0.9961,1.9
0.9976,2.1
0.9984,2.5
0.9986,2.2
0.9986,2.2
0.9966,2.4
0.9958,2
0.9972,1.5
0.9958,1.6
0.9974,1.9
0.997,2
0.9969,1.8
0.9959,1.8
0.9961,2.2
0.9972,1.9
0.9966,1.9
0.9978,2.1
0.9978,1.8
0.9964,1.9
0.9972,1.9
0.9972,2
0.9966,1.9
0.9938,1.4
0.9932,2.3
0.9965,3
0.9963,2
0.9967,2.5
0.9972,1.9
0.9972,2.1
0.9959,1.9
0.9972,1.9
0.9967,2.1
0.996,2.2
0.9967,2.1
0.9973,1.7
0.9969,1.7
0.9976,2.5
0.9969,2
0.9964,1.8
0.9964,2.2
0.9964,2.2
0.9988,2.3
0.9964,1.8
0.9966,2.2
0.9978,1.9
0.997,2
0.9962,2.2
0.9959,1.8
0.9962,1.7
0.9962,2.2
0.998,2.5
0.9976,2.6
0.996,1.6
0.9984,1.9
0.9964,1.7
0.9964,1.8
0.9962,1.8
0.9955,1.8
0.9968,2
0.9937,2.3
0.9937,2.3
0.9952,1.5
0.9959,2.2
0.9965,1.9
0.9968,1.8
0.9972,2
0.9962,2.1
0.9962,2
0.9965,1.9
0.9968,1.8
0.9916,1.8
0.9954,1.7
0.9916,1.8
0.9968,1.8
0.9944,1.8
0.9968,1.6
0.9959,2.3
0.9975,2.8
0.9958,2.1
0.9996,3.4
0.995,1.8
0.995,1.8
0.9973,5.5
0.9973,5.5
0.9973,5.5
0.9973,5.5
0.9969,2.2
0.9968,1.9
0.9959,2
0.9965,1.3
0.9964,1.7
0.9982,7.3
0.9981,7.2
0.9961,1.7
0.9956,2.1
0.9956,1.6
0.9953,2.1
0.9964,1.8
0.9972,1.8
0.9972,2
0.9972,2
0.9961,1.9
0.9961,2
0.9958,1.5
0.9961,2
0.9972,2.3
0.9969,2.5
0.9969,2.4
0.9969,2.4
0.9972,2
0.9972,2.5
0.9971,1.8
0.997,1.9
0.9971,2
0.9972,2
0.9976,2.6
0.9968,2
0.9968,1.9
0.9976,2.9
0.9974,1.9
0.9969,3.8
0.9964,2.2
0.9964,2.2
0.9968,2
0.9968,2.4
0.9981,2
0.9924,1.2
0.9948,2.1
0.99695,1.4
0.9975,2.1
0.99545,1.5
0.9961,1.6
0.99615,1.6
0.9994,2.6
0.9994,2.6
0.99625,1.8
0.9966,2.7
0.998,2.1
0.99585,2
0.99685,2.8
0.998,2.1
0.9959,2.2
0.9974,2.4
0.9974,5.6
0.9962,2
0.9967,2.2
0.9957,1.9
0.99655,2.4
0.9964,2
0.9957,2
0.99525,1.5
0.99815,2
0.99745,2
0.99615,2.6
0.9964,2
0.9984,2.6
0.99615,2.6
0.99685,2.6
0.9927,1.6
0.99625,1.8
0.998,2.8
0.99685,2.6
0.99685,2.3
0.99675,1.9
0.99675,1.9
0.99675,1.9
0.99675,1.9
0.99685,2.3
0.9971,1.7
0.99925,2.1
0.99565,1.8
1.00005,2.2
1.00005,2.2
0.9983,2
0.99685,1.9
0.9963,2.3
0.99615,1.7
0.9983,2
0.9985,1.6
0.9972,1.8
0.9986,3.1
0.9959,1.9
0.9972,1.8
0.99675,3.2
0.998,2.2
0.9968,2.1
0.9968,1.8
0.99965,2.6
0.99625,1.7
0.99565,2
0.99575,1.7
0.9963,1.8
0.9999,2.4
0.9968,1.8
1.00025,3.3
0.9973,3.6
0.9987,3
0.9996,4
0.9965,4
0.9996,4
0.99935,4
0.99735,2.4
0.99915,7
0.9965,4
0.9987,3
0.9996,4
0.9976,6.4
0.9991,5.6
0.9986,3.6
0.9972,3.5
0.9971,3
0.9991,5.6
1.00015,3.4
1.00015,3.4
0.9997,2
0.9967,3
0.9976,2.5
1.001,3.3
0.9976,2.5
0.9979,2
0.9994,2.7
0.9964,2.4
1.0014,3.2
1.0001,2.5
0.9981,2.6
0.99855,2
0.9993,2.3
0.99845,2.1
0.9965,2.6
0.9973,1.5
0.9994,2.6
0.996,1.6
0.9973,2.1
0.9998,2.5
0.9966,2.2
0.9994,2.4
0.9994,2.4
0.9968,1.7
0.9998,2.5
0.996,2
0.99815,2.8
0.9976,3
0.99645,2.6
0.9962,2.5
0.9996,3.4
0.99865,2.9
0.9989,3.2
0.99865,2.9
0.9989,3.2
0.99975,3.4
0.99735,2.3
0.999,2.8
1.0015,11
1.0015,11
0.9978,3.65
0.998,4.5
1.0002,2.6
0.9981,2
0.998,2.9
0.998,2.9
0.9973,3.2
0.9958,2.1
0.9963,2.5
0.9992,3.4
0.9948,1.9
0.9974,2.8
