ENT_REGIS,MUN_REGIS,LOC_REGIS,TAM_LOC_RE,DIA_REGIS,MES_REGIS,ANIO_REGIS,REGIMEN_MA,GENERO,SEXO_CON1,EDAD_CON1,NACI_CON1,OCUP_CON1,ENTRH_CON1,MUNRH_CON1,LOCRH_CON1,TLORH_CON1,ESCOL_CON1,CONACTCON1,SITLABCON1,POSTRACON1,SEXO_CON2,EDAD_CON2,NACI_CON2,OCUP_CON2,ENTRH_CON2,MUNRH_CON2,LOCRH_CON2,TLORH_CON2,ESCOL_CON2,CONACTCON2,SITLABCON2,POSTRACON2,TIPO_CON
20,557,0001,14,22,2,2017,1,1,1,19,1,6,20,557,0001,6,6,1,1,3,2,18,1,11,20,557,0001,6,5,2,2,9,1
02,003,0001,11,27,5,2017,9,1,1,29,1,2,02,003,0001,11,7,1,1,2,2,25,1,2,30,070,0032,1,7,1,1,2,1
15,118,0001,11,6,1,2017,1,1,1,32,1,2,22,014,0001,15,5,1,1,2,2,25,1,98,22,014,0001,15,5,1,1,2,1
15,010,0001,6,13,12,2017,1,1,1,34,1,1,15,010,0002,4,7,1,1,2,2,22,1,2,15,010,0001,6,6,1,1,2,1
02,002,0001,15,5,7,2017,9,1,1,48,1,4,02,002,0001,15,9,1,1,9,2,37,1,98,02,002,0001,15,9,1,1,9,1
22,006,0001,11,21,12,2017,2,1,1,25,1,2,22,006,0142,7,5,1,1,2,2,19,1,11,22,006,0142,7,6,2,2,9,1
22,016,0001,13,5,4,2017,1,1,1,27,1,98,22,016,0077,1,4,1,1,2,2,30,1,11,22,016,0077,1,4,2,3,9,1
13,003,0001,8,14,10,2017,2,1,1,32,1,98,15,058,0001,16,6,1,1,2,2,34,1,11,13,003,0001,8,6,2,3,9,1
22,014,0001,15,5,8,2017,2,1,1,44,1,98,22,014,0001,15,7,1,1,2,2,38,1,98,22,006,0001,11,7,1,1,2,1
17,006,0001,13,7,12,2017,1,1,1,22,1,2,17,006,0001,13,6,1,1,2,2,18,1,11,17,006,0001,13,5,2,2,9,1
