"","ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON","NOM_LOC"
"1",20,557,1,14,22,2,2017,1,1,1,19,1,6,20,557,1,6,6,1,1,3,2,18,1,11,20,557,1,6,5,2,2,NA,1,"Tehuantepec"
"2",20,557,1,14,29,12,2017,1,1,1,34,1,7,20,26,7,1,5,1,1,1,2,20,1,11,20,26,7,1,6,2,3,NA,1,"Tehuantepec"
"3",20,557,1,14,14,6,2017,1,1,1,23,1,5,20,557,1,6,6,1,1,2,2,22,1,11,20,557,1,6,6,2,3,NA,1,"Tehuantepec"
"4",20,557,1,14,21,2,2017,1,1,1,23,1,7,20,557,1,6,5,1,1,1,2,30,1,NA,20,557,1,6,4,1,1,6,1,"Tehuantepec"
"5",2,3,1,11,10,2,2017,NA,1,1,32,1,NA,18,4,186,6,6,1,1,2,2,28,1,NA,6,9,1,12,5,1,1,2,1,"Mexicali"
"6",2,3,1,11,6,5,2017,NA,1,1,36,1,NA,26,17,1,11,7,1,1,2,2,39,1,NA,2,3,1,11,6,1,1,2,1,"Mexicali"
"7",2,3,1,11,27,5,2017,NA,1,1,29,1,2,2,3,1,11,7,1,1,2,2,25,1,2,30,70,32,1,7,1,1,2,1,"Mexicali"
"8",2,3,1,11,9,2,2017,NA,1,1,26,1,7,25,6,1,15,6,1,1,1,2,23,1,7,9,17,1,14,6,1,1,1,1,"Mexicali"
"9",2,3,1,11,6,5,2017,NA,1,1,49,1,4,2,3,9999,NA,6,1,1,4,2,26,1,4,10,5,1,15,5,1,1,4,1,"Mexicali"
"10",2,3,1,11,23,3,2017,NA,1,1,23,1,2,2,3,1,11,7,1,1,2,2,24,1,11,2,3,1,11,7,2,2,NA,1,"Mexicali"
"11",2,3,1,11,21,6,2017,NA,1,1,60,1,NA,29,34,7777,1,4,1,1,2,2,45,1,7,20,525,1,5,5,1,1,1,1,"Mexicali"
"12",2,3,1,11,3,5,2017,NA,1,1,22,1,NA,7,51,1,7,6,1,1,2,2,21,1,11,7,111,1,4,5,2,3,NA,1,"Mexicali"
"13",2,3,1,11,27,10,2017,NA,1,1,33,1,NA,6,9,9999,NA,7,1,1,2,2,32,1,1,2,4,1,16,6,1,1,2,1,"Mexicali"
"14",2,3,1,11,14,8,2017,NA,1,1,58,1,9,25,6,1,15,4,1,1,3,2,66,1,11,32,49,1,6,4,2,3,NA,1,"Mexicali"
"15",2,3,1,11,24,8,2017,NA,1,1,24,1,NA,2,3,1,11,5,1,1,2,2,27,1,11,33,999,9999,NA,5,2,3,NA,1,"Mexicali"
"16",2,3,1,11,21,9,2017,NA,1,1,34,1,1,2,3,1,11,7,1,1,2,2,35,1,2,33,999,9999,NA,7,1,1,5,1,"Mexicali"
"17",2,3,1,11,20,6,2017,NA,1,1,30,1,8,2,3,1,11,4,1,1,2,2,29,1,11,2,4,1,16,4,2,3,NA,1,"Mexicali"
"18",2,3,1,11,7,4,2017,NA,1,1,22,1,NA,2,3,1,11,6,1,1,2,2,22,1,NA,2,4,1,16,6,1,1,2,1,"Mexicali"
"19",2,3,1,11,15,9,2017,NA,1,1,48,1,NA,15,999,9999,NA,6,1,1,2,2,52,1,NA,10,22,7777,1,6,1,1,2,1,"Mexicali"
"20",2,3,1,11,7,10,2017,NA,1,1,44,1,8,2,2,1,15,5,1,1,2,2,27,1,11,14,96,1,6,4,2,3,NA,1,"Mexicali"
"21",2,3,1,11,23,6,2017,NA,1,1,48,1,4,11,46,4,1,4,1,1,4,2,60,1,4,13,40,7777,1,4,1,1,4,1,"Mexicali"
"22",2,3,1,11,11,1,2017,NA,1,1,25,1,NA,32,10,414,2,5,1,1,2,2,39,1,NA,11,19,1,5,5,1,1,2,1,"Mexicali"
"23",2,3,1,11,27,6,2017,NA,1,1,24,1,7,2,3,1,11,6,1,1,1,2,33,1,5,2,3,1,11,6,1,1,4,1,"Mexicali"
"24",2,3,1,11,14,10,2017,NA,1,1,34,1,8,2,4,1,16,5,1,1,2,2,23,2,11,33,999,9999,NA,5,2,3,NA,1,"Mexicali"
"25",2,3,1,11,8,9,2017,NA,1,1,28,1,2,2,2,1,15,7,1,1,2,2,29,1,2,2,1,1,14,7,1,1,2,1,"Mexicali"
"26",2,3,1,11,6,10,2017,NA,1,1,49,1,5,12,57,79,5,5,1,1,2,2,43,1,11,12,57,80,4,6,2,3,NA,1,"Mexicali"
"27",2,3,1,11,25,9,2017,NA,1,1,37,1,4,2,4,1,16,7,1,1,4,2,36,1,2,2,4,1,16,7,1,1,2,1,"Mexicali"
"28",2,3,1,11,29,4,2017,NA,1,1,25,1,4,32,10,7777,1,6,1,1,4,2,24,1,11,2,3,1,11,7,2,3,NA,1,"Mexicali"
"29",2,3,1,11,7,10,2017,NA,1,1,28,1,NA,32,55,21,1,5,1,1,2,2,24,1,NA,2,3,1,11,5,1,1,2,1,"Mexicali"
"30",2,3,1,11,14,11,2017,NA,1,1,30,1,NA,2,1,1,14,6,1,1,2,2,36,1,NA,10,5,1,15,5,1,1,2,1,"Mexicali"
