"ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON"
20,557,1,14,22,2,2017,1,1,1,19,1,6,20,557,1,6,6,1,1,3,2,18,1,11,20,557,1,6,5,2,2,9,1
2,3,1,11,27,5,2017,9,1,1,29,1,2,2,3,1,11,7,1,1,2,2,25,1,2,30,70,32,1,7,1,1,2,1
15,118,1,11,6,1,2017,1,1,1,32,1,2,22,14,1,15,5,1,1,2,2,25,1,98,22,14,1,15,5,1,1,2,1
15,10,1,6,13,12,2017,1,1,1,34,1,1,15,10,2,4,7,1,1,2,2,22,1,2,15,10,1,6,6,1,1,2,1
2,2,1,15,5,7,2017,9,1,1,48,1,4,2,2,1,15,9,1,1,9,2,37,1,98,2,2,1,15,9,1,1,9,1
22,6,1,11,21,12,2017,2,1,1,25,1,2,22,6,142,7,5,1,1,2,2,19,1,11,22,6,142,7,6,2,2,9,1
22,16,1,13,5,4,2017,1,1,1,27,1,98,22,16,77,1,4,1,1,2,2,30,1,11,22,16,77,1,4,2,3,9,1
13,3,1,8,14,10,2017,2,1,1,32,1,98,15,58,1,16,6,1,1,2,2,34,1,11,13,3,1,8,6,2,3,9,1
22,14,1,15,5,8,2017,2,1,1,44,1,98,22,14,1,15,7,1,1,2,2,38,1,98,22,6,1,11,7,1,1,2,1
17,6,1,13,7,12,2017,1,1,1,22,1,2,17,6,1,13,6,1,1,2,2,18,1,11,17,6,1,13,5,2,2,9,1
7,38,1,2,20,7,2017,1,1,1,23,1,98,31,75,1,5,5,1,1,2,2,22,1,11,7,38,1,2,6,2,3,9,1
30,15,1,6,26,6,2017,2,1,1,19,1,11,30,15,1,6,6,2,2,9,2,19,1,11,30,15,1,6,6,2,2,9,1
16,15,1,6,26,10,2017,2,1,1,29,1,6,16,15,7777,1,5,1,1,2,2,25,1,98,16,15,7777,1,7,1,1,1,1
9,10,1,15,17,5,2017,1,1,1,31,1,98,9,10,1,15,5,1,1,2,2,33,1,98,9,10,1,15,5,1,1,2,1
32,58,1,2,17,11,2017,2,1,1,77,1,99,14,39,1,16,2,9,9,9,2,62,1,99,14,39,1,16,5,9,9,9,1
19,39,1,16,9,11,2017,2,1,1,35,1,99,19,26,1,15,9,9,9,9,2,48,1,99,19,26,1,15,9,9,9,9,1
25,6,1,15,4,1,2017,1,1,1,50,1,98,25,6,1,15,5,1,1,2,2,50,1,98,25,6,1,15,7,1,1,2,1
30,54,1,4,14,9,2017,1,1,1,51,1,98,30,54,60,1,5,1,1,2,2,22,1,11,30,54,60,1,5,2,3,9,1
9,5,1,16,9,10,2017,2,1,1,42,1,7,9,2,1,14,6,1,1,1,2,31,1,7,9,2,1,14,6,1,1,1,1
23,9,1,7,26,1,2017,9,1,1,33,2,1,35,999,9999,99,7,1,1,2,2,24,2,1,35,999,9999,99,7,1,1,2,1
30,61,1,10,5,6,2017,1,1,1,23,1,98,30,61,592,1,6,1,1,3,2,20,1,11,30,61,592,1,5,2,3,9,1
4,11,340,1,8,3,2017,1,1,1,30,1,6,4,11,7777,1,4,1,1,3,2,30,1,11,4,11,7777,1,2,2,3,9,1
21,114,1,16,7,2,2017,2,1,1,43,1,11,21,114,1,16,5,2,4,9,2,51,1,11,21,140,14,7,6,2,3,9,1
31,56,1,8,25,4,2017,1,1,1,24,1,6,31,56,4,2,4,1,1,3,2,21,1,11,31,56,4,2,4,2,3,9,1
7,78,1,13,16,3,2017,1,1,1,22,1,7,7,78,1,13,6,1,1,4,2,20,1,11,7,78,1,13,5,2,3,9,1
16,17,6,4,17,8,2017,2,1,1,24,1,7,9,7,1,17,5,1,1,2,2,25,1,11,9,7,1,17,5,2,3,9,1
7,30,1,5,8,9,2017,1,1,1,33,1,6,7,30,27,2,1,1,1,3,2,37,1,11,7,30,27,2,4,2,3,9,1
25,11,138,8,26,10,2017,1,1,1,29,1,2,25,6,1,15,7,1,1,2,2,29,1,2,25,11,49,4,7,1,1,2,1
19,39,1,16,6,10,2017,2,1,1,30,1,98,19,39,1,16,8,1,1,2,2,25,1,98,19,26,1,15,7,1,1,2,1
13,69,1,10,13,2,2017,1,1,1,24,1,9,30,83,7777,1,6,1,1,2,2,21,1,11,30,83,7777,1,6,2,3,9,1
16,67,1,4,27,4,2017,2,1,1,21,2,98,16,60,7777,1,6,1,1,1,2,19,1,11,16,60,7777,1,4,2,3,9,1
2,2,1,15,9,12,2017,9,1,1,39,1,98,26,18,1,14,9,1,1,9,2,45,1,8,2,2,1,15,9,1,1,9,1
8,37,1,16,24,4,2017,2,1,1,23,1,98,8,37,1,16,4,1,1,2,2,19,1,4,8,37,1,16,4,1,1,2,1
4,2,96,2,25,3,2017,2,1,1,27,1,98,4,2,263,1,5,1,1,2,2,26,1,98,4,2,465,3,6,1,1,2,1
25,12,1,14,8,6,2017,1,1,1,61,1,6,25,12,1,14,9,1,1,4,2,57,1,11,25,12,1,14,9,2,3,9,1
7,34,1,7,4,8,2017,1,1,1,24,1,3,7,34,116,1,5,1,1,6,2,26,1,11,7,34,7777,1,6,2,3,9,1
25,6,312,8,17,4,2017,1,1,1,19,1,98,25,6,3238,1,4,1,1,2,2,20,1,98,25,6,3238,1,4,1,1,2,1
