Entidad,Estado,Abreviatura,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Hombre_Mujer,Hombre_Hombre,Mujer_Mujer,Mexicana_Mexicana,Mexicana_Extranjera,Extranjera_Extranjera,Media_Hombres,Media_Mujeres,Agric,Artesa,Auxadmin,BuscaT,Comer_agent,Elemen_apoyo,Func_dir_jefes,indust_transp,InsEsp,NE,NT,Prof_tecn,Serv_vig,NoAplica_menor_a_cinco,Sin_Escolaridad,Uno_a_tres_anios_primaria,Cuatro_a_cinco_anios_primaria,Primaria,Secundaria,Prepa,Profesional,Otra,Esc_No especificada
1,AGUASCALIENTES,Ags,15,16,29,22,29,19,21,17,14,22,28,36,268,0,0,264,4,0,29.38432836,26.82462687,8,33,17,0,26,11,8,39,163,1,119,100,11,0,1,4,3,30,177,159,161,0,1
2,BAJA CALIFORNIA,B.C.,37,106,51,34,58,52,67,33,53,42,47,53,633,0,0,565,64,4,34.38546603,31.66982622,5,68,18,0,50,26,10,39,514,16,292,202,26,0,14,14,3,119,286,207,245,3,375
3,BAJA CALIFORNIA SUR,B.C.S.,2,7,4,10,11,15,6,4,5,10,8,10,92,0,0,78,3,11,33.82608696,31.57608696,4,5,12,0,12,5,3,3,47,0,39,44,10,0,2,0,2,6,44,49,81,0,0
4,CAMPECHE,Camp,12,13,15,6,17,12,14,15,10,15,8,32,168,0,1,168,1,0,30.9047619,27.90588235,32,22,11,1,15,1,1,8,89,5,103,41,9,0,3,21,4,25,102,81,87,13,2
5,COAHUILA,Coah,36,57,49,36,44,47,61,56,50,50,40,78,595,4,5,589,14,1,30.47595357,28.30413223,2,100,20,0,41,14,13,86,408,24,289,196,15,0,6,0,6,52,340,321,337,3,143
6,COLIMA,Col,9,15,14,12,11,6,8,7,5,8,9,19,119,0,4,119,4,0,33.32773109,29.45669291,12,9,7,0,26,3,12,12,60,0,50,41,14,0,2,1,2,22,59,75,80,1,4
7,CHIAPAS,Chis,35,246,41,67,61,41,52,56,39,58,67,113,875,0,1,861,15,0,32.168,28.64310148,334,59,15,0,77,7,5,19,368,8,656,178,26,0,90,33,71,337,454,374,306,2,85
8,CHIHUAHUA,Chih,22,136,35,44,41,58,53,58,46,46,51,41,620,4,7,615,16,0,32.0955414,29.00630915,32,36,19,0,50,26,14,47,571,14,290,156,7,0,4,7,11,127,300,263,342,11,197
9,CIUDAD DE MEXICO,CDMX,56,105,210,74,92,82,74,94,75,101,87,83,1075,30,28,1050,77,6,36.05022026,32.91158267,4,88,76,0,182,9,73,47,639,0,478,597,73,0,3,56,9,68,621,675,815,0,19
10,DURANGO,Dgo,17,47,33,12,20,13,24,26,13,20,19,29,273,0,0,260,13,0,31.27106227,28.23076923,23,37,19,0,24,29,2,8,171,5,174,51,3,0,3,3,5,38,176,130,97,7,87
11,GUANAJUATO,Gto,85,134,110,73,112,110,49,121,87,92,103,105,1180,1,0,1155,25,1,28.25465313,26.01864407,89,396,37,0,138,59,27,57,603,42,640,233,41,0,9,25,15,274,742,431,324,12,530
12,GUERRERO,Gro,58,125,46,52,69,35,29,31,27,36,42,89,638,0,1,633,5,1,29.63949843,26.4390625,209,49,7,0,46,14,2,25,273,16,479,137,21,0,17,24,26,158,321,272,205,167,88
13,HIDALGO,Hgo,19,84,31,32,24,12,29,27,16,20,33,44,371,0,0,361,10,0,33.70080863,30.83018868,24,49,20,0,41,42,13,17,201,22,196,99,18,0,12,2,4,84,192,152,207,0,89
14,JALISCO,Jal,116,156,143,92,152,98,116,100,92,150,143,147,1486,6,13,1429,75,1,30.19626168,27.55489418,78,230,82,0,233,42,58,58,943,7,641,547,91,0,21,27,21,298,796,859,874,1,113
15,MEXICO,Mex,167,323,229,187,196,162,172,188,182,191,222,275,2494,0,0,2453,37,4,32.34522855,29.71210906,100,440,84,0,318,25,38,73,1886,12,1454,472,86,0,31,26,22,453,1539,1618,1084,17,198
16,MICHOACAN,Mich,70,85,62,69,60,59,63,62,65,74,70,130,865,1,3,836,33,0,30.6816609,27.28702641,136,94,22,0,91,64,18,28,421,26,575,227,36,0,18,12,16,201,445,367,350,2,327
17,MORELOS,Mor,22,63,39,27,21,19,13,19,14,23,27,48,332,1,2,320,15,0,33.29341317,30.35416667,26,36,8,0,55,6,17,12,201,19,141,130,19,0,10,6,2,42,167,166,217,16,44
18,NAYARIT,Nay,17,28,19,21,17,8,14,10,16,7,20,20,197,0,0,181,10,6,33.97461929,31.06091371,22,15,6,0,22,16,5,7,122,2,87,85,5,0,36,0,0,25,62,63,150,0,58
19,NUEVO LEON,N.L.,43,93,78,73,78,95,98,93,93,85,101,88,1018,0,0,986,29,3,30.97347741,28.58742633,1,122,5,0,10,43,11,4,1007,539,248,43,3,0,3,3,1,136,434,326,476,24,633
20,OAXACA,Oax,34,198,31,48,29,30,42,31,28,34,31,72,608,0,0,595,12,1,29.92927632,27.25328947,219,78,11,0,64,16,6,18,232,1,421,125,25,0,24,0,0,247,380,302,240,6,17
21,PUEBLA,Pue,55,63,51,55,63,61,39,60,58,49,47,85,686,0,0,661,25,0,32.53498542,29.69533528,88,103,26,0,102,4,16,25,316,0,399,254,39,0,27,0,0,180,328,373,433,9,22
22,QUERETARO,Qro,25,36,37,27,26,27,37,26,20,29,31,28,349,0,0,339,10,0,32.4469914,29.79369628,10,66,16,0,29,28,21,26,218,1,168,105,10,0,8,4,2,60,207,156,255,6,0
23,QUINTANA ROO,Q.R.,20,65,24,29,36,47,36,30,32,32,31,29,411,0,0,275,48,88,32.89294404,30.18491484,20,28,37,0,46,13,51,23,304,13,117,133,37,0,3,3,2,47,141,280,217,0,129
24,SAN LUIS POTOSI,S.L.P.,31,36,30,26,31,35,35,42,38,20,28,76,428,0,0,416,12,0,30.59813084,28.15186916,36,86,10,0,42,41,7,32,217,7,237,130,11,0,1,8,4,72,259,233,196,4,79
25,SINALOA,Sin,36,47,60,50,54,50,41,26,35,49,50,78,576,0,0,557,18,1,32.83159722,29.51215278,21,21,23,0,58,46,25,18,360,0,340,204,36,0,6,17,16,63,173,316,384,0,177
26,SONORA,Son,24,121,58,44,40,38,23,25,31,48,63,56,571,0,0,531,36,4,34.34325744,31.26795096,11,36,7,0,33,53,13,12,468,15,313,163,18,0,3,0,0,106,356,302,341,22,12
27,TABASCO,Tab,23,30,44,31,30,29,27,33,29,32,38,36,382,0,0,374,8,0,30.9895288,27.97905759,22,73,0,0,31,0,2,1,328,3,256,47,1,0,0,9,12,45,203,283,173,36,3
28,TAMAULIPAS,Tamps,23,29,40,34,30,46,65,88,41,30,46,59,531,0,0,412,16,103,33.23917137,30.20715631,5,47,7,0,20,23,6,37,390,297,167,61,2,0,5,10,20,91,246,244,196,2,248
29,TLAXCALA,Tlax,6,22,12,12,12,8,23,10,7,9,15,49,185,0,0,181,4,0,31.21081081,28.90810811,5,41,4,0,5,14,6,1,159,35,83,14,3,0,2,0,0,22,93,141,102,2,8
30,VERACRUZ,Ver,84,272,82,68,91,60,111,68,61,81,72,128,1178,0,0,1163,15,0,33.80475382,30.14516129,217,140,5,0,68,30,11,41,773,29,820,186,36,0,44,67,38,323,506,756,546,9,67
31,YUCATAN,Yuc,23,15,30,34,29,22,28,27,32,53,23,48,364,0,0,362,2,0,29.16208791,27.3021978,22,47,19,0,26,13,8,16,241,19,185,112,20,0,7,11,5,67,212,156,166,0,104
32,ZACATECAS,Zac,25,36,25,28,17,30,28,19,21,23,23,45,320,0,0,307,13,0,28.16875,25.76875,43,55,13,0,32,29,4,10,158,29,170,83,14,0,17,6,4,62,208,158,160,1,24
